uuid,name,brand,street,house_number,post_code,city,latitude,longitude,cluster_20,cluster_25,cluster_30,cluster_35,cluster_40
2acc4724-ea6a-4874-baa6-e191ccb12756,"MUENCHEN, INNSBRUCKER RING",Shell,INNSBRUCKER RING 142,,81669,MUENCHEN,48.114907,11.617154,3.0,5.0,5.0,6.0,6
5a8fc6fd-6f03-4157-a7af-b0ee2b75307b,Esso Tankstelle,ESSO,MUENCHNER STR. 14, ,82319,STARNBERG,48.002091,11.348624,,8.0,7.0,9.0,13
6c2ff229-2e9a-47da-8394-8bff5ab91875,Esso Tankstelle,ESSO,EFFNERSTR. 130, ,81925,MUENCHEN,48.162809,11.624476,3.0,5.0,5.0,6.0,6
802e24d9-e991-4be7-bac1-7a4e4fc683e2,Aral Tankstelle,ARAL,Ingolstädter Str.,164-166,80939,München,48.20178,11.5861492,2.0,4.0,4.0,5.0,5
8d21423c-093d-43d1-99e4-da01ba69a9f8,Freie Tankstellen Singer,AVIA,Hauptstr.,19,85643,Tulling,48.083397,12.059923,,,,,0
f43d6a5b-352a-480f-836a-4ec6ca7b2da7,TOTAL FORSTERN,TOTAL,HAUPTSTR.,40,85659,FORSTERN,48.186554,11.975332,,,,0.0,1
00060279-0001-4444-8888-acdc00000001,A-S-C Schreyer,Tankstelle Schreyer,Lorenz-Braren-Str ,31,85229,Markt Indersdorf,48.348823547363,11.371603012085,,,1.0,1.0,1
00060289-0001-4444-8888-acdc00000001,Tankstelle Unsin,,Dachauer Str.,13,85253,Erdweg-Großberghofen,48.321155548096,11.316249847412,,,1.0,1.0,1
00060293-0001-4444-8888-acdc00000001,Erich Walter OHG,BFT,Rosen Str.,2,82216,Maisach,48.221450805664,11.265246391296,,1.0,2.0,2.0,2
00060441-0001-4444-8888-acdc00000001,Tankhof Sauerlach ,TANKHOF SAUERLACH,Ludwig-Bölkow-Straße ,1,82054,Sauerlach,47.971649169922,11.662834167481,0.0,2.0,0.0,1.0,1
00060446-0001-4444-8888-acdc00000001,Freie Tankstelle Schuster,,Münchner Str. ,31,82041,Oberhaching,48.029453277588,11.601210594177,0.0,2.0,0.0,0.0,1
00060471-0001-4444-8888-acdc00000001,Seitz Tankstelle Jetzendorf,Seitz Tankstellen,Gewerbering,1,85305,Jetzendorf,48.429363250732,11.427619934082,,,,1.0,1
00060508-0002-4444-8888-acdc00000002,Hans Ritz GmbH,Freie Tankstelle Hans Ritz,Ayingerstraße ,3,85649,Faistenhaar,47.984237670898,11.716430664062,0.0,2.0,0.0,1.0,1
00060558-0005-4444-8888-acdc00000005,Seitz Tankstelle Röhrmoos,Seitz Tankstellen,Schlammerstraße ,1,85244,Röhrmoos,48.33472442627,11.438884735107,,2.0,1.0,1.0,1
00060472-0003-4444-8888-acdc00000003,Seitz Tankstelle Alberzell,Seitz Tankstellen,Singenbacher Straße,24,85302,Alberzell,48.460731506348,11.343946456909,,,,,1
00060861-0006-4444-8888-acdc00000006,Seitz Tankstelle Niederroth,Seitz Tankstellen,Münchner Straße,9,85229,Niederroth,48.32597732544,11.3884973526,,,1.0,1.0,1
00061016-0008-4444-8888-acdc00000008,Seitz Tankstelle Hohenkammer,Seitz Tankstellen,Eisfeldstraße,2,85411,Hohenkammer,48.42879486084,11.523527145386,,,,1.0,1
00061017-0007-4444-8888-acdc00000007,Seitz Tankstelle Erdweg,Seitz Tankstellen,Hauptstraße,34,85253,Erdweg,48.331123352051,11.306722640991,,,1.0,1.0,1
00061428-0002-4444-8888-acdc00000002,E-Center Tankstelle,EDEKA,Haidling ,16,85567,Grafing,48.033046722412,11.959246635437,,,,3.0,3
00061467-0010-4444-8888-acdcffffffff,Kloiber GmbH,BFT-Tankstelle Kloiber GmbH,Gewerbering ,28,85238,Petershausen,48.41618347168,11.478831291199,,,,1.0,1
00061555-0001-4444-8888-acdc00000001,SI-Automobil-Service-Center GmbH,ST 2 Tankstelle,Indersdorferstraße,68,85256,Vierkirchen,48.360893249512,11.447950363159,,,1.0,1.0,1
00061651-0001-4444-8888-acdc00000001,Tankstelle Hamberger Großmarkt GmbH,,Friedenstraße,16,81671,München,48.12665939331,11.606442451477,1.0,3.0,3.0,4.0,4
0055bbb5-2c30-4cb9-89f4-d937cf121770,Aral Tankstelle,ARAL,Waldwiesenstraße,31,81375,München,48.11868,11.478302,2.0,4.0,4.0,5.0,5
00d5c1b0-ad92-428e-b1e0-067d8b8a76bc,München,Mr. Wash Autoservice AG,Landsberger Straße,420+426,81241,München,48.145315,11.477435,2.0,4.0,4.0,5.0,5
02071bff-1f29-4c5e-9823-3644589ee89e,"MUENCHEN, GUNDERMANNSTR.6.",Shell,GUNDERMANNSTR. 6,,80935,MUENCHEN,48.204544,11.558951,2.0,4.0,4.0,5.0,5
0271f0fc-65ed-4725-a922-57eec615195b,ALLGUTH GmbH  c/o Michael Dersch,ALLGUTH,Triebstraße,35,80993,München,48.187122,11.534851,2.0,4.0,4.0,5.0,5
05a9dda6-b9d0-4bc7-9374-47aa0387eb52,Freie Tankstelle Huber,Freie Tankstelle Huber,Öhnböcker Straße,5,82544,Egling,47.92424,11.50892,,2.0,0.0,1.0,1
09d5951b-3495-4160-a14a-52290eda4406,Hörndl Tank-u. Servicecenter,Hörndl Freie Tankstelle,Gewerbebogen,4,85661,Forstinning,48.17095,11.92062,,,1.0,1.0,1
09d6912f-0b17-4b80-9a90-8e9bbc297895,FTO-Freie Tankstelle Oliv,,Hauptstr,11,82549,Königsdorf,47.818496,11.482945,,,,,7
0a3ed70f-3854-4126-8b12-2d492a058b36,Bruckmühl Albert-Mayer-Str. 22,OMV,Albert-Mayer-Str.,22,83052,Bruckmühl,47.88208,11.93292,,,,,8
0a404032-7c67-4769-aeb6-2e153747c1f2,Bavaria Petrol,Bavaria Petrol,Ingolstädter Straße,59,80939,München,48.19296,11.58364,2.0,4.0,4.0,5.0,5
