,uuid,name,brand,street,house_number,post_code,city,latitude,longitude
4743,51d4b591-a095-1aa0-e100-80009459e03a,JET MUENCHEN WOTANSTR. 85,JET,WOTANSTR. 85,,80639,MUENCHEN,48.1528,11.5073
4771,51d4b5b3-a095-1aa0-e100-80009459e03a,JET MUENCHEN FUERSTENRIEDER STR. 98,JET,FUERSTENRIEDER STR. 98,,80686,MUENCHEN,48.1315,11.5027
4818,51d4b5e8-a095-1aa0-e100-80009459e03a,Supermarkt-Tankstelle PULLACH WOLFRATSHAUSER STR. 110,Supermarkt-Tankstelle,WOLFRATSHAUSER STR. 110,,82049,PULLACH,48.06581,11.51658
4836,51d4b5fe-a095-1aa0-e100-80009459e03a,JET MUENCHEN LIMESSTR. 72,JET,LIMESSTR. 72,,81243,MUENCHEN,48.14599,11.42176
4865,51d4b61c-a095-1aa0-e100-80009459e03a,JET MUENCHEN DACHAUER STR. 240,JET,DACHAUER STR. 240,,80992,MUENCHEN,48.1785,11.5171
4980,51d4b6ad-a095-1aa0-e100-80009459e03a,Supermarkt-Tankstelle MUENCHEN MARIA-PROBST-STRASSE 6,Supermarkt-Tankstelle,MARIA-PROBST-STRASSE 6,,80939,MUENCHEN,48.190831,11.586666
5043,51d4b701-a095-1aa0-e100-80009459e03a,JET FORSTING PFAFFING MUENCHNER STR. 1B,JET,MUENCHNER STR. 1B,,83539,FORSTING PFAFFING,48.08,12.095
5070,51d4b71e-a095-1aa0-e100-80009459e03a,JET MUENCHEN KARL-MARX-RING 48,JET,KARL-MARX-RING 48,,81735,MUENCHEN,48.107775,11.657653
5113,52d554ea-73ce-4d4c-bee3-0a858ededb33,"MUENCHEN, LEOPOLDSTR.",Shell,LEOPOLDSTR. 140,,80804,MUENCHEN,48.168581,11.586574
5120,52f1e679-abc9-45c7-ae19-0b5e5a73194a,OIL! Tankstelle Karlsfeld,OIL!,Boschstr. 12,,85757,Karlsfeld,48.2261,11.4847
5148,5342d82a-fefd-44c8-a59d-be8111fdb867,"MUENCHEN, WILHELM.-HALE-STR.",Shell,WILHELM-HALE-STR. 55,,80639,MUENCHEN,48.148951,11.519951
5167,53a40ec8-4a9c-459f-812d-27b64f0805ee,ALLGUTH GmbH  c/o Fr. Olena Fastovets-Guba,ALLGUTH,Hauptstr.,24,85664,Hohenlinden,48.155994,11.999013
5206,54653788-7857-4a91-baf7-7e58a8145224,Aral Tankstelle,ARAL,Nymphenburger Straße,205,80639,München,48.15773,11.5282726
5233,5511a3ad-8e10-4838-8acb-1915927606d9,TOTAL MUENCHEN,TOTAL,MOOSACHER STR.,36,80809,MUENCHEN,48.18645,11.556034
5241,553e94f7-94a5-4b98-918a-80e063fdcdad,"WOLFRATSHAUSEN, KOENIGSDORFER STR.",Shell,KOENIGSDORFER STR. 47,,82515,WOLFRATSHAUSEN,47.908327,11.428295
5242,554aeca7-4b82-4b5a-b85f-1379e4b23352,TOTAL NEUFAHRN,TOTAL,MUENCHENER STR.,11A,85375,NEUFAHRN,48.31836,11.691503
5270,5603b5cf-e657-44a5-87d8-e0dfd141e313,Aral Tankstelle,ARAL,Gilchingerstraße,31,82239,Alling,48.1381,11.2993889
5295,56b46d12-9b37-457a-af36-b170356f49f6,BayWa Tankstelle Schondorf am Ammersee,BayWa,Landsberger Str. ,10,86938,Schondorf am Ammersee,48.054714,11.088136
5317,5741629b-92a8-4a69-878a-e9b496a65dfa,Aral Tankstelle,ARAL,Georg-Brauchle-Ring,27,80992,München,48.1761055,11.5356159
