brand,uuid
Schillhorn Mineralöle GmbH Süderhastedt,1
STB Tankstelle,1
Schillhorn Mineralöle GmbH Hemme,1
Schillhorn Mineralöle GmbH Hanerau,1
WEVAG Autohof,1
Schillhorn Mineralöle GmbH Gudendorf,1
"Schillhorn Mineral""le GmbH Remmels",1
Schaffers Brennstoffhandels GmbH,1
Sauerwald,1
Saggel GbR Lauenförde,1
WITTIG Tankautomatenstation,1
Zieglmeier Tankstelle,1
WOTAN,1
Walther Automatenstaion,1
Walther Tankstelle,1
SB-Tankstelle,1
arwe,1
SB-Tankpunkt,1
centertank,1
frei ,1
classic,1
Reifen Labetzke Tankstelle,1
ch-tank Ost,1
Reitmayr TS,1
ch-tank,1
Rewe Tankstelle Olching,1
Rapp - Freie Tankstelle,1
carTank24,1
Robert Raimund e.K.,1
blakert.de VW in Osterwick,1
bft-Walther Wagner,1
Rossnagel Tankstelle,1
bft-Tankstelle Vogl,1
Rastpark24 GmbH & Co. KG,1
Raimund Tankstelle,1
SB-Tanken Herget,1
Raiffeisen-Warengenossenschaft Budjadingen-Seefeld eG,1
Raiffeisen eG,1
super wash,1
ssd GmbH,1
Raiffeisen-Tankstelle,1
roth,1
nordenergie,1
Raiffeisenbank Kastellaun eG,1
freie Tankstelle Endrass,1
Raiffeisenbank Oberstadion,1
Raiffeisenmarkt Oberstadion,1
mtb,1
gelöscht,1
freie tankstelle,1
freie Tankstelle Schmelzer,1
bft-Tankstelle ,1
bft-Tankstelle,1
Rottal Tankstelle  ,1
SB-Tank Scherer,1
SB Tankstelle Raker,1
SB Tankstelle Wallner,1
bft Pyrbaum,1
bft H. Gr. Höötmann Tankstellen GmbH,1
bft Bräuning,1
SB-Service-Station Dettmer,1
bft - Tankstelle Laubach,1
Rubart Mineralöl,1
bft - Freie Tankstelle,1
azur,1
V-Markt Thannhausen,1
agron,1
agritura Raiffeisen eG,1
Zillinger,1
SB Tankstelle E&S,1
bft SENG Hattenhof,1
bft Tankstelle,1
bft Tankstelle Emir,1
SB Station,1
bft Tankstelle Hartenstein,1
bft Tankstelle Neussel,1
bft Tankstelle Reinersmann,1
S-Tank Hohenwart,1
S-TANK Langenpettenbach,1
S-TANK Kühbach,1
S-TANK Biberbach,1
Rundel Mineralölvertrieb,1
bft Tankstelle Richters GmbH,1
bft Wilstacke + Growe,1
bft Winkler 24h,1
bft-Station-Uesbeck,1
Sefrin Heizöl und Kraftstoffe,1
V-Markt Peiting,1
Seiffert,1
V-Markt Schwabmünchen,1
TankPoint Berneck,1
Tankbistro Selgros,1
Tankcenter Hafen,1
Tanken mit Bedienung Schulte,1
Tankhof Anders,1
Tankhof Iffezheim,1
Tankhof Lengenfeld,1
Tankhof Norsingen,1
Tanklager Baack,1
Tankstelle Späth,1
Tankstelle Senftl,1
Tankport Süd,1
Tankpunkt Weinmann,1
Tankstelle Schäfer,1
Tankstelle  Ruehl,1
TankDiscount24,1
TankCenter Europoint,1
Tank-Eck,1
Tank u. Waschcenter Harting GmbH,1
Tank & Waschcenter Kirchberg,1
Tank & Waschcenter Rohsiepe,1
Tankstelle Wenker,1
Tank Schäfer,1
Tank Stop Best,1
Tank am Ring,1
Tank und Wasch,1
Tank- und Waschpark Lahr,1
Tankstelle Teuchern,1
Tank und Waschcenter,1
Tank und Waschservice Schuch,1
Tankstelle Still,1
Tank- und Baumarkt Zahna,1
Tank- und Waschcenter BSB in Bersenbrück,1
Tankstelle Schutzbach,1
Tankstelle & Espressobar Nardi,1
Tankstelle Aitrachtal,1
Tankstelle Kuhn,1
Tankstelle Heinz,1
Tankstelle Hörlin,1
Tankstelle I.Zens,1
Tankstelle Schlotter,1
Tankstelle Klüver,1
Tankstelle Kolb,1
Tankstelle Lietsch,1
Tankstelle Hauser KG,1
Tankstelle Logabirum,1
Tankstelle Lösenbach,1
Tankstelle Marco Gaubig,1
Tankstelle Meier,1
Tankstelle Rhein,1
Tankstelle Reier,1
Tankstelle Heinrich,1
Tankstelle Haar,1
Tankstelle Schuster,1
Tankstelle Donautal,1
Raiffeisen Tungeln,1
Tankstelle Barver,1
Tankstelle Bily GmbH & CO KG,1
Tankstelle Brey,1
Tankstelle Buckreus,1
Tankstelle Denner,1
Tankstelle Dreyer,1
Tankstelle Schreyer,1
Tankstelle Ehret,1
Tankstelle Feldmeier,1
Tankstelle Fischer,1
Tankstelle Gebauer,1
Tankstelle Greil,1
Tankstelle Gröditsch,1
Tank & Waschcenter Auerbach,1
Tank & Waschcenter,1
Tankstelle Werner Cunow,1
Supermarkt Uetze,1
V-Markt Landsberg,1
V-Markt Kissing,1
V-Markt Kirchheim,1
V-Markt Kaufbeuren,1
V-Markt Immenstadt,1
Supermarkt Tankstelle,1
V-Markt Illertissen,1
Stoffregen,1
V-Markt Ichenhausen,1
V-Markt Günzburg,1
V-Markt Füssen,1
V-Markt Fischen-Langen,1
Süd-Treibstoff Tankstelle,1
V-Markt Erkheim,1
V-Markt Lauingen,1
V-Markt Leipheim,1
V-Markt Bobingen,1
Shell Basedow,1
Selgros,1
V-Markt Schongau,1
V-Markt Saulgrub,1
Tankstelle Müller,1
V-Markt Neugablonz,1
V-Markt Nesselwang,1
V-Markt München Balanstrasse,1
V-Markt Mainburg,1
V-Markt Mindelheim,1
Speed Point Eble,1
V-Markt Memmingen,1
Sprit Point,1
Steffens Kfz Rep. GmbH,1
Stoffmehl,1
V-Markt Burgau,1
V-Markt Bad Wörishofen,1
TWS Niederfüllbach,1
Tankstelle am Kiebitzmarkt,1
Tankzentrum Lacher,1
TINOL Tankstelle,1
TINQ,1
Tankstelle-Reilmann,1
TOP,1
Tankstelle am Osterkanal,1
Tankstelle Wiegand,1
TAS (Umbau provisorisch),1
TS - GREIL IFFELDORF,1
TS ARNT,1
TS Karmann tanken & sparen,1
TS Narr,1
TSR - Rossi,1
Tankstelle West - Welldorf,1
TEC,1
Tebben Automobile,1
V-Baumarkt Kaufbeuren,1
TANK 24,1
Unitol,1
Union Zapfstelle,1
Unger + Guthier GmbH,1
Ultsch-Tankstelle Bamberg,1
Ultsch,1
Turbo,1
Tramin City Tank,1
Thelen,1
Tobias Lehre GmbH,1
TANKHOF RIEGEL Freie Tankst.,1
Tinex Tankstelle,1
TANKHOF SAUERLACH,1
TANKHOF STEINHEIM,1
TinQ,1
Tankstelle Barthmann,1
 AVIA Xpress ,1
Raiffeisen Tankverbund GmbH,1
Dörge Brennstoffe & Dienstleistungen,1
DOC - Freie Tankstelle,1
DONIG ARAL-Vertrieb,1
Deglmann Tankcenter,1
Depenbrock Freie Tankstelle,1
Die Grüne,1
Die Tankstelle Uwe Giersch,1
Dieselmann,1
Dieseltankstelle Mauch,1
Doukkali Autoservice,1
Döringer,1
Freie Tankstelle Esch,1
E+C,1
EC - Tankstelle Rolfes,1
EC-Tankstelle Meemken,1
ED-Freie-Tankstelle,1
EDEKA Walke,1
EP Tankstelle,1
Easy Sprit,1
Eberhardt (Diedelsheim),1
Eberhardt Forst,1
DOC  - Freie Tankstelle,1
DEXX,1
DEMO Tank,1
DCS-Tankstelle,1
Bft Tankstelle Alte Huette,1
Bft zum Boxenstop,1
Brandol Beeskow,1
Brandol Goyatz,1
Broering Tankstelle,1
Brzezina / Wiechers Diepholz,1
Brzezina GmbH - Drebber,1
Börde Agrarhandel,1
C&S,1
C+C Markt,1
C+C Oberallgäu Lang-Steudler  ,1
CARL MENNER,1
CT Mineralöle,1
Calpam Tankstelle,1
Citi Oil SB Tankstelle,1
Classic,1
Classic Knoll,1
Classic Rademacher,1
Classic Tankstelle Wirth,1
Eberhardt Hambrücken,1
Eberhardt Jöhlingen,1
Eberhardt Ubstadt,1
Freie ,1
Freie Faldera Tankstelle Günzel,1
Freie KANNE Tankstelle,1
Freie SB-Tankstelle Feil,1
Freie TS,1
Freie Tankst. ,1
Freie Tankstelle AH Holste,1
Freie Tankstelle AH Meyer,1
Freie Tankstelle ASL,1
Freie Tankstelle Autofit Lambert,1
Freie Tankstelle Autohaus Knieper GmbH,1
Freie Tankstelle Bartels,1
Freie Tankstelle Baumann,1
Freie Tankstelle Bayer,1
Freie Tankstelle Behrends,1
Freie Tankstelle Berta Schneider,1
Freie Tankstelle Blatt,1
Freie Tankstelle Cinar,1
Freie Tankstelle Dittmann,1
Freie Tankstelle E. Wippenhohn e.K.,1
Freie Automatentankstelle,1
Frei Tankstelle Lange,1
Eberhardt Unteröwisheim,1
Flora Park,1
Edeka,1
Edewechter Tankpark,1
Egenolf Freie TS,1
Egon von Haw,1
Eichhorn AG,1
Eller,1
Engelke Energie,1
Express Tank,1
FGL Tankstelle,1
FIT,1
FREIE Tankstelle,1
FREIE WELLE,1
FT,1
FT Freie Tankstelle,1
FT Mangold,1
FTF Tankstelle Mulda,1
Fina,1
Flaeming Tank,1
Fleming + Wendeln GmbH & Co. KG,1
Bft - Tankstelle Herrmann,1
BfT Tankstelle,1
Beyer Tankstelle,1
Auto Seidl,1
Auto-Kohler KG ,1
Auto-Service-Bund,1
Autofit Freie Tankstelle,1
Autohaus Anton Segbert GmbH & Co.  KG,1
Autohaus Bauer,1
Autohaus Braun,1
Autohaus Eyßelein,1
Autohaus Fritz Pieper,1
Autohaus Hackmann,1
Autohaus Huber - freie Tankstelle,1
Autohaus Jagow,1
Autohaus Kaiser GmbH,1
Autohaus Knoepfle,1
Autohaus Kupferschmid,1
Autohaus König,1
Autohaus Lang GmbH - BFT,1
Autohaus Luckey Freie Tankst.,1
Autohaus Maier,1
Autohaus Modler,1
Auto-Kohler,1
Auto SPREVES,1
Autohaus Otto Menger GmbH & Co. KG,1
Auto Riedel,1
 F T B,1
 Freie Tankstelle Hirschmann,1
24-Stunden Tankstelle Sellner,1
24h Tankstelle Schmidtler // Joe´s Carwash,1
24h Tankstelle am Wyker Hafen,1
A. Kuenstler GmbH,1
ALLGUTH ,1
AMIDI Freie Tankstelle,1
AS Mineralöle,1
AUTO ZOTZ Herxheim b.LD.       Tanken an L.493,1
AUTO ZOTZ Landau in der Pfalz   Tanken und waschen,1
AVIA Xpress Automatentankstelle ,1
Adams,1
Agroservice Tankstelle Nobitz,1
Agroservice Tankstelle Waldenburg,1
Agten Freie Tankstelle,1
Alb-Donau-Center,1
Andreas Sauter GmbH & Co. KG,1
Auto Huber,1
Autohaus Nachtmann,1
Autohaus Rickmeier GmbH,1
Bendix,1
BFT Pieper,1
BFT Tankstelle Blattmann,1
BFT Tankstelle Cunow,1
BFT Tankstelle Ewald Leiber ,1
BFT Tankstelle Michael Richter,1
BFT Tankstelle Mucke,1
BFT Tankstelle Vornmoor GmbH,1
BFT Willig´s GTR-Tankhof,1
BFT Wolfhagen,1
BFT-freie Tankstelle,1
BHG Brennstoffhandel Großer Gmbh - Tankstelle an der B101,1
BSB Benzinkontor GmbH & Co. KG,1
BTW,1
BURKHARD,1
BUROL,1
Bau-Markt Buchloe,1
BauXpert Gebhard,1
Bauer Oelzapf Mineralölvertrieb GmbH,1
BeckmannLindemann GmbH,1
Beernink´s Freie Tankstelle,1
BFT Tankhof Stein,1
BFT Pickelmann,1
Autohaus Röse GbR,1
BFT LUTZ GMBH VW-AUDI-SERVICE,1
Autohaus Wankmüller GmbH,1
Autohaus Weinmann,1
Autoservice Spitz Tankstelle,1
Avia,1
Avia Schmidt,1
B-Station,1
BAG Creglingen,1
BAG Hohenlohe,1
BAUM,1
BFT ,1
BFT                  ,1
BFT - Freie Tankstelle,1
BFT / Tankstelle  Lang,1
BFT Auto-Team GmbH,1
BFT Bahrendorf,1
BFT Eilsleben,1
BFT Filderstadt,1
BFT Huddelbusch,1
BFT Krüger Hodenhagen,1
Freie Tankstelle Ehmann,1
Freie Tankstelle Feher,1
Raiffeisen Tankstelle,1
LD Tankstelle Westheim,1
Kühling Tankstelle,1
L.Baierer ,1
LBAG Pretzier eG,1
LD Tankstelle Backnang,1
LD Tankstelle Fellbach,1
LD Tankstelle Fornsbach,1
LD Tankstelle Heidenheim,1
LD Tankstelle Herlikofen,1
LD Tankstelle Nürtingen,1
LD Tankstelle Öhringen,1
Freie Tankstelle Feldstetten,1
LIQUI-MOLY,1
LKT,1
LS&WD Handels-GmbH Tankstelle,1
Lange Mineralöl GmbH,1
Lanwehr,1
Lanzinger Tanke & Caravan e. K,1
Ludwig Mineralöle,1
Lölfin,1
Lölfin Tankstelle,1
Kröber Mineralöl GmbH,1
Krämer,1
Kohlenhof - Freie Tankstelle,1
Knauber (PM),1
Iboil,1
Itzehoer Tankhof,1
J. Dorst GmbH,1
J. Hannöver,1
Josef Höckelmann,1
K&S,1
K&S Freie Tankstelle,1
K1 Tanstelle,1
KURZ-EBERT TELGTE TANKSTELLE,1
Kaiser Freie Tankstelle/Shop,1
Kaiser-Tankstelle,1
Kaiser/Freie-24h-Tankstelle,1
Kessel Mineralöl,1
Kfz-Kleppel,1
Kfz-Werkstatt Neff,1
Kfz-Werkstatt Schneider,1
Kfz-Werkstatt u. Tankstelle Winkler,1
Kirschbaum,1
Kling Energie,1
MHB Markt-Tankstelle am ACC ,1
MLZ,1
MR Tankstelle,1
ORLEN,1
Oel - Heim,1
Oel-Huff,1
Ott Transporte-Tankstelle e.K.,1
PS-Laden,1
PT 1,1
PT Tankstelle Becker,1
Pfeiffer  Metalltechnologie,1
Piening Tankstelle,1
Pink-Tank,1
Profi-T,1
Profitank,1
QPT,1
R. Tesche GmbH,1
Raiffeisen - LBAG Schmalenbrücke eG,1
Raiffeisen Adelebsen Uslar GmbH,1
Raiffeisen Agil,1
Raiffeisen Aßling,1
Raiffeisen Lagerhaus Eschlkam,1
Raiffeisen Muecke,1
OTTO HATTENDORF GmbH,1
OPEL - MOROF ,1
MTB Automatentankstelle,1
OHO - Tankstelle & Shop,1
 Autohof Frechen (Mundorf Tank),1
MTB Tankstelle Saarbrücken,1
MTB-Tankstelle AH Schlecht,1
Marktkauf LD Tankstelle Pfullingen,1
Mc Sprit,1
Meiers39,1
Mineralöle Andrys,1
Mineralölvertrieb Noeke GmbH,1
